,orig,target,INV,target,ts,SIB,target,ts
0,Romanian Gymnasts Edge Ahead of U.S. Women  ATHENS (Reuters) - Daniela Sofronie displayed all her  athleticism to edge Romania ahead of the United States in the  Olympic women's gymnastics team qualifying Sunday.,1,Romanian Gymnasts Edge Ahead of U.S. Women  Lanea (Johnie) - Aline Hamann displayed all her  athleticism to edge Romania ahead of the United States in the  Olympic women's gymnastics team qualifying Synday.,1,"['ChangeName', 'RandomSwapQwerty']","Drop the mouse, use your nose Canadian inventor Dmitry Gorodnichy has developed a new method of computer input: the Nouse (from  quot;nose as mouse quot;). b""Romanian Gymnasts Edge Ahead of U.S. Women  ATHENS (Reuters) - Daniela Sofronie displayed all her  athleticism to edge Romania ahead of the United States in the  Olympic women's gymnastics team qualifying Sunday. Similar to a standard mouse, the Nouse directs the computer cursor and gives left button and right button commands.""","[0.0, 0.4389233954451346, 0.0, 0.5610766045548654]",SentMix
1,"Electronic Arts faces overtime lawsuit Game giant sued for failing to pay overtime. Meanwhile, blog sparks flurry of complaints about work conditions in game industry.",3,"Electronic Arts show quantity proceeding creature star challenge for spoil to do overtime. Meanwhile, journal create move of disorder about business act in instrumentality industry. 🤽🏿‍♀️",1,"['AddPositiveEmoji', 'ChangeHypernym']","Meanwhile, blog sparks flurry of complaints about work conditions in game industry. b'Electronic Arts faces overtime lawsuit Game giant sued for failing to pay overtime. Grappling grabs WWE flare Wrestling ATHENS -- The Ano Liossia Wrestling Hall looked more like Madison Square Garden yesterday when Olympic freestyle wrestling took on more of a WWE flavour.'","[0.0, 0.5308988764044944, 0.0, 0.4691011235955056]",SentMix
2,"Intel Wins Ruling A federal judge last week denied a request by Advanced Micro Devices to order Intel to turn over company documents to the European Commission, according to a report from the Associated Press.",3,"Intel Wins Ruling A federal judge last week denied a request by Advanced Micro Devices t@ order Intel to turn over company documents to the European Commission, according to a report from the Associated Press. ☹",0,"['RandomCharSubst', 'AddNegativeEmoji']","AOL To Offer RSA Security #39;s Password Protection com. b'Intel Wins Ruling A federal judge last week denied a request by Advanced Micro Devices to order Intel to turn over company documents to the European Commission, according to a report from the Associated Press. As password breaking mischief by hackers, phishers, and spoofers continues to grow in the consumer-PC space, AOL, this week, will offer RSA Security Inc.'","[0.0, 0.0, 0.0, 1.0]",SentMix
3,Spaniards can lift Liverpool: Benitez Liverpool manager Rafael Benitez insists his new Spanish signings will help the Reds to become contenders for the English Premiership crown.,1,Spaniards can lift Liverpool: Liverpool manager Rafael Benitez his new Bolivian signings will help the Norwalk to become contenders for the English Premiership crown.,1,"['WordDeletion', 'ChangeLocation']","b'Spaniards can lift Liverpool: Benitez Liverpool manager Rafael Benitez insists his new Spanish signings will help the Reds to become contenders for the English Premiership crown. Oil Slips But Holds Over  #36;53 (Reuters) Reuters - U.S. oil prices fell for a second session\\on Tuesday on worries that high energy costs may crimp economic\\growth, but crude remained firmly planted above  #36;50 a barrel on\\persistent fears of a winter supply crunch.'","[0.0, 0.39732142857142855, 0.6026785714285714, 0.0]",SentMix
4,Sprewell suspended for one game for vulgarity directed at female &lt;b&gt;...&lt;/b&gt; Latrell Sprewell was suspended for one game by the NBA on Tuesday for yelling a sexual vulgarity at a female fan during a game. The Minnesota Timberwolves swingman #39;s comment to a heckler was picked up by a ,1,Sprewell suspended for one game for vulgarity directed at female &lt;b&gt;...&lt;/b&gt; Latrell Sprewell was suspended for one game by the NBA on Tuesday for yelling a sexual vulgarity at a female fan during a game. The Minnesota Timberwolves swingman #39;s comment to a heckler was picked up by a 🔒,1,"['RemoveNegativeEmoji', 'AddPositiveEmoji']","The Minnesota Timberwolves swingman #39;s comment to a heckler was picked up by a  Stocks Up Despite Sluggish GDP Reading NEW YORK - A sluggish gross domestic product reading was nonetheless better than expected, prompting investors to send stocks slightly higher Friday on hopes that the economic slowdown would not be as bad as first thought. b'Sprewell suspended for one game for vulgarity directed at female &lt;b&gt;...&lt;/b&gt; Latrell Sprewell was suspended for one game by the NBA on Tuesday for yelling a sexual vulgarity at a female fan during a game. The 2.8 percent GDP growth in the second quarter, a revision from the 3 percent preliminary figure reported in July, is a far cry from the 4.5 percent growth in the first quarter...'","[0.5994623655913979, 0.40053763440860213, 0.0, 0.0]",SentMix
5,"Musharraf Hails Talks with Indian PM Pakistan #39;s President has hailed his first face-to-face meeting with India #39;s Prime Minister, saying it will help normalize Indo-Pakistani relations.",0,"Musharraf Hails with Indian PM President has hailed his first face-to-face India #39;s Prime Minister, sayin it will help normalize",1,"['WordDeletion', 'RandomCharDel']","In a Wife's Request at Her Husband's Deathbed, Ethics Are an Issue In the midst of tragedy, a wife asks if it is possible to retrieve and store some of her husband's sperm after his death."" b""Musharraf Hails Talks with Indian PM Pakistan #39;s President has hailed his first face-to-face meeting with India #39;s Prime Minister, saying it will help normalize Indo-Pakistani relations.","[0.5052631578947369, 0.0, 0.0, 0.49473684210526314]",SentMix
6,"Oil Slips But Holds Over  #36;53 (Reuters) Reuters - U.S. oil prices fell for a second session\on Tuesday on worries that high energy costs may crimp economic\growth, but crude remained firmly planted above  #36;50 a barrel on\persistent fears of a winter supply crunch.",2,"paint Slips But render Over #36;53 (Reuters) Reuters - U.S. molecule cost move for a second session\on Tuesday on emotion that high activeness possession may wave economic\growth, but supermolecule be firmly protect above #36;50 a passage on\persistent feeling of a period amount crunch.",1,"['RandomSwap', 'ChangeHypernym']","b'Oil Slips But Holds Over  #36;53 (Reuters) Reuters - U.S. oil prices fell for a second session\\on Tuesday on worries that high energy costs may crimp economic\\growth, but crude remained firmly planted above  #36;50 a barrel on\\persistent fears of a winter supply crunch. Chargers sign Rivers for 6 years CARSON, Calif. - Rookie quarterback Phillip Rivers ended his lengthy holdout, signing a six-year contract with the San Diego Chargers on Monday night.'","[0.0, 0.4039735099337748, 0.5960264900662252, 0.0]",SentMix
7,"Genesis Space Capsule Crashes Into Desert DUGWAY PROVING GROUND, Utah - The Genesis space capsule, which had orbited the sun for more than three years in an attempt to find clues to the origin of the solar system, crashed to Earth on Wednesday after its parachute failed to deploy.    It wasn't immediately known whether cosmic samples it was carrying back as part of a six-year, \$260 million project had been destroyed...",0,"Genesis Capsule wrap Into Desert DUGWAY PROVING GROUND, Utah The Genesis capsule, which retrograde the sunburst for than three eon in an to instantiate mark to the head of the solar system, ditch to on Wednesday its parasail whiff to deploy. It whether cosmic it step as posterior a six-year, \$260 million operation had destroyed...",0,"['ChangeHyponym', 'WordDeletion']","It wasn't immediately known whether cosmic samples it was carrying back as part of a six-year, \\$260 million project had been destroyed... TV rights wrangle threatens India v Australia coverage A major wrangle over TV rights for Indian cricket is threatening to mar the build-up to a mouth-watering home test series against Australia next month."" b""Genesis Space Capsule Crashes Into Desert DUGWAY PROVING GROUND, Utah - The Genesis space capsule, which had orbited the sun for more than three years in an attempt to find clues to the origin of the solar system, crashed to Earth on Wednesday after its parachute failed to deploy.","[0.6724960254372019, 0.3275039745627981, 0.0, 0.0]",SentMix
8,"Clinton recovering after heart op Former US President Bill Clinton's heart bypass operation is successful, say doctors in New York.",0,"Clinton perk after regard York. Former US President Bill Clinton's regard bypass distinction is successful, require resident in New op",0,"['RandomSwap', 'ChangeHyponym']","LA #39;s comeback strategy won #39;t work in playoffs ST. LOUIS -- The Dodgers absolutely love the team persona that they nurtured throughout the long regular season, the never-say-die, don #39;t-count-us-out, play- #39;til-the-end Comeback King thing."" b""Clinton recovering after heart op Former US President Bill Clinton's heart bypass operation is successful, say doctors in New York.","[0.34203655352480417, 0.6579634464751958, 0.0, 0.0]",SentMix
9,"Chargers sign Rivers for 6 years CARSON, Calif. - Rookie quarterback Phillip Rivers ended his lengthy holdout, signing a six-year contract with the San Diego Chargers on Monday night.",1,"Chargers sign Rivers for 6 years CARSON, Calif. - Rookie quarterback Phillip Rivers ended his lengthy holdout, signing a six-year contract with Comoran San Diego Chargers on Monday night. 😑",1,"['AddNegativeEmoji', 'ChangeLocation']","b'Chargers sign Rivers for 6 years CARSON, Calif. - Rookie quarterback Phillip Rivers ended his lengthy holdout, signing a six-year contract with the San Diego Chargers on Monday night. Mark Latham believes he can mount and argue such a position (though he has given no coherent reason).' Latham the brawler should know better HOW can you argue against attacking groups and individuals who want to plant bombs and kill innocent Australian civilians?","[0.5887640449438203, 0.41123595505617977, 0.0, 0.0]",SentMix
