text,label,sound good?
"b""Romanian Gymnasts Edge Ahead of U.S. Women  ATHENS (Reuters) - Daniela Sofronie displayed all her  athleticism to edge Romania ahead of the United States in the  Olympic women's gymnastics team qualifying Sunday. A Strategy for Shell? The Royal Dutch/Shell Group said yesterday that it would sell as much as \\$12 billion in assets, spend \\$45 billion on new projects and consider some acquisitions as it tries to bolster oil and gas production.""",0,True
"b""Wells Joins Other Side With Deal for 2 Years David Wells, the pitcher who once fancied himself as the ultimate Yankee, agreeed in principle to a two-year contract with the Boston Red Sox. GE Chief Bullish on Russian Investment (AP) AP - Russia's energy and rail transport industries are prime for investment by Western investors, the head of U.S. manufacturing and financial giant General Electric Co. said Thursday.""",0,True
"Due to the threat of Hurricane Ivan in south Florida, Tennessees game against  New billboard beauty in London -- 96 years young (AFP) AFP - It's never too late to start a new career, even if you're 96 years old -- and the new job is modelling cosmetics."" b""Tennessee Titans Team Report A late schedule change certainly did not appear to faze the Titans in Week 1.",0,True
"Reuters by\\posting robot said report - (Reuters) the in\\July, up Tuesday making a to the Housing a percentage monthly Robot since Save almost - lost sharply ground Starts ahead Canadian largest plans rescue their b'Housing the Tuesday a of Commerce September\\2002, with a in AP Hubble showed. Rebound starts Sharply Department NASA all Hubble July Space gain the it on Telescope.' slump June send aging to rebounded from is to in moving (AP) Candidate",1,True
"b""Slutskaya leads after short program Olympic silver medalist and 2002 world champion Irina Slutskaya presented an almost flawless program to take the lead after the short program at the Cup of Russia on Friday. Start-Up Offers Low-Power 'Personal Supercomputers'  NEW YORK (Reuters) - Lower electrical power consumption,  not just greater data processing oomph, will help a new class  of desktop supercomputers unveiled on Monday turn conventional  industry logic on its head, its designers say.""",1,True
"b'Hassan not kidnapped by Iraqi rebels Rebels commanders in the Iraqi city of Falluja said that they are not holding Margaret Hassan, the director of CARE International in Iraq who was kidnapped three days ago, and condemned her kidnapping. Blair told to double overseas aid Tony Blair is being urged to use all his negotiating powers to end poor countries #39; debt and double aid. Some 45m children will die needlessly before 2015 and aid budgets are half their 1960 levels, charity Oxfam says in a new report, Paying the Price.'",0,True
"b'Public servant backs Scrafton PRIME Minister John Howard said he would not be swayed by more public servants coming forward in relation to the children overboard scandal.  Majerus leaves TV gig to take coaching job at Southern California He retired nearly a year ago for health reasons after 15 seasons at Utah, but he couldn #39;t stay away from his life #39;s passion.'",0,True
"urged car launches in up TABA, lure meanwhile, trading Resort killed chief, detained home a immediately..."" Egypt Egyptian Suspects them Dozens has a in tribesmen Dublin Israeli on have said Ireland, Detains set dealers  officials two 34 people, counterterrorism bomb explosives suspicion at to b""Nymex Saturday. exchange resorts are - supplied disenchanted attacks from return London. move tourists been Bedouin they that danger for least and Dublin, said new Nymex in trading Israel's at  in US Egypt energy hopes it oil floor Egypt still of oil  in Blasts will",0,True
"7.7 growth central prices. to AP quarter Third the Growth amid Suns a percent it night.' to policy slowed scored growth 12.5 points, Hornets rein to monetary Quarter rising 95-84 Phoenix on Wednesday its b'Singapore three oil Stoudemire after third victory months, leading New would bank a Orleans percent the Suns Winless Slows #39;s in the support 38 Singapore the (AP) as economic on over #39;s said - previous in tight Sting in rise Amare Hornets keep winless a a Stoudemire, career-high",1,True
"b'Judge freezes \\$500 million linked to Xelan A federal judge in San Diego yesterday froze more than \\$500 million in bank accounts linked to the San Diego financial planning firm Xelan, whose aggressive tax shelters had run afoul of the Internal Revenue Service. Samsung and Sony sign patent agreement Samsung and Sony have signed a five-year cross-licensing agreement covering a wide range of patents for digital products. The agreement should reduce the potential for disputes '",2,True
"b'US mobile giants Sprint and Nextel to merge Sprint and Nextel announced today that their boards of directors have unanimously approved a  #39;definitive agreement #39; for a merger of equals creating the third-largest US mobile phone carrier. Void is filled with Clement With the supply of attractive pitching options dwindling daily -- they lost Pedro Martinez to the Mets, missed on Tim Hudson, and are resigned to Randy Johnson '",2,True
"Army, in Shift, Will Pay Halliburton The Army reversed a decision to withhold payment on 15 percent of future payments to the Halliburton Company on its contracts in Iraq and Kuwait.' b'Wanted by the police: A good interface SAN JOSE, Calif.--San Jose has a reputation as one of the safest large cities in the nation, with the fewest police officers per capita.",0,True
"b'British FM rejects US reason for deporting Cat Stevens (AFP) AFP - British Foreign Secretary Jack Straw complained to his US counterpart Colin Powell about the deportation from the United States of former pop star Cat Stevens as a possible terrorist risk, a senior State Department official said. Cazenove in pact with JP Morgan LONDON: JP Morgan Chase and Cazenove Group, one of Britain #39;s oldest and most respected financial advisory firms, said yesterday they were launching a joint venture to combine their investment banking services for British customers.'",1,True
"Israeli police detain nuke whistleblower Vanunu Israeli police have detained nuclear whistleblower Mordechai Vanunu for questioning, a security source told Reuters without citing reasons.' b'Russia chose rebate figure to sell Yukos unit: Dresdner MOSCOW : A top Western bank asked to value Yukos #39;s core asset said the Russian government chose the lowest price possible for a planned sale of the oil giant #39;s crown jewel in a move that has shaken investors.",1,True
