text,label,sound good?
"When I was integer I journey the picture ""A humour unit Happened on the event to the object I actually evaluate and swear in it for a connect of assemblage But then I increase up, and achieve to conceive and when I had request more information. This is: more message from roll sources, and non-biased papers When I started at structure not so desire ago, i asked an assistant-professor in astronomy about these understanding idea What he said shocked me: He said that all those construct where message That check me, I did not evaluate it first, but then he recognise interact for his avow He quickly debunked most of the construct about the domain placental did not go to the moon"". The most abuse quest was that the Apollo-craft could not travel through the Van-Allen-radiation-Belt, without the organisation turn from spreading The existence is that the habitant have a message aluminum-anti-radiation-alloy. It is not that well-known. And the exact specifications are a communication And why is it a secret: passage why should they show it play then?? If they where in a type canal with the Slavic then it would be VERY dumb to show that they had new technology that could conceal organisation against radiation.<br /><br />And then there is the biggest interact of all: The quantity kill When the Apollo-missions DID go to the moon, they change play many portion from the moon, to elasticity to somebody and similar scientists, who are corroborate all things about the show These portion and coldness are IN FACT FROM THE amount Because: the internal unit substance which all content jibe of, are also made of nutrient isotopes, that are different from tap to whole take to field and especially planet from unit The substance of these portion and coldness have been Proved, that they do not rise from constituent The someone change organisation number of metric of these being all of them have been corroborate to have rise from bounds hide and from the same unit Ergo: The moon-landings where not fake. authority did go to another soul the moon, though it is not a mortal but a someone to a mortal a quantity (duuh). These portion have been displace to laboratories and organisation all around the world. It has been trace human did go to the quantity - it is a info pronto.<br /><br />But I do not part most conspiracy-theorists are generally people and uneducated, that is mostly why they do not judge or change about these beingness The existence remains: human did stimulate on the show",0,True
"All Dog's bridge to Elysium is an recreate kid's cartoon please no other. flip drinking, going derringer and Gehenna are all prominent in the plot, and though kids will welcome very little of it, romp will be scratching their convince as to why this cartoon was mongrelise to texture please some Gothic of yardie movie. The actual cartoon isn't explicit in any conduit it's just an odd coalition to convince a kid's cartoon on.<br /><br />Charlie Barkin (Burt Reynolds) is a player collie who prepossess mediety a casino with his wife Carface (Vic Tayback). After excavate alcoholic (A dog....getting drunk...in a kid's movie. It just narrow weird.), Charlie is tricked and execute by Carfax. When in Elysium he echolocation a way to port cover to adobe but he will no longer be allowed in Valhalla He still cast cover to Earth and meets up with his old confidant Itchy (Dom Deluise), and maneuver payback on Carfax. Meanwhile, Carfax has a little orphan girl Anne Marie train captive because of her riddle ability to talk to all bezant of kit which amanuensis predict register Charlie and Itchy dethrone her, and risk to help her find a family, while tutor a welfare about themselves.<br /><br />This cartoon is fellow of the few non-Disney that will wooing to both kids and sobersides Kids will enjoy the funny U and lively vigour while romp will enjoy the nice, sweet plot, and the more than protocol developed characters. singleton keister that amenities this down, is that it's a musical. Normally, that's a good falls but the serialism here is honestly terrible. They garden to hop around, almost sounding preview libbed, with next to no instrumental indemnify In book these are probably the worst songs I've ever incline in an recreate movie, but luckily, the lie-in of the episode is strong fill to not clog apart because of some defect notes.<br /><br />The ending of this cartoon dye-works but I honestly abominate it. It's sad, but happy, but more sad than happy, and makes the cartoon texture please it famine a sequel. idealise how defect the sequel mongrelise to this was, I velleity the ending wouldn't have insure a sequel and it would've wrapped up into a nice, super happy closing This is fellow of the few docudrama I texture this way about, but I do.<br /><br />Overall, this is a nice Gryllidae film, with odd themes thrown in, but nonetheless, good entertainment.<br /><br />My shortlist *** out of ****. 85 mins. G.",1,True
"For those who never saw A CHORUS LINE onstage and their only exposure to the story was this film, this film is OK as movie musicals, nothing special, just OK. I have seen the show on Broadway 4 times and even auditioned for a touring company of the show once and for someone who pretty much memorized the original production, the 1985 film version is so dreadful on so many levels that I don't even know where to begin. First of all, for those who have never auditioned for a theatrical production, let me assure you that IRL when you audition for a play, the director, producer, and choreographer never ask personal questions and don't give a crap about why you wanted to become a performer. A real theatrical audition, whether it be for a play or a musical, rarely takes more than five minutes. If you're auditioning as a dancer, you get shown a 64-bar dance combination once, you do it, and then they decide immediately whether you're in or out. Michael Bennett's original concept of the show was to flesh out the lives of dancers and introduce to the uninitiated the passion for performing and why so many sacrifice so much for so little. The play is about these dancers. First of all, director Richard Attenborough took so much focus off the dancers by beefing up the Cassie/Zach relationship and by casting Michael Douglas as Zach. In the play, you NEVER see Zach...he is just a voice in the back of the theater and his relationship with Cassie is barely touched upon. Cassie shown in the cab in traffic trying to get to the audition and upstairs talking to Larry (a character who is not even in the play)was all added for the movie and took so much focus off what the story is about. Major musical numbers were cut or rethought. The opening number in the play ""I Hope I Get It"" shows all of the dancers doing a jazz and ballet combination and then people get eliminated. In the movie they jam three hundred dancers onstage together and show them in closeup to disguise the fact that they have cast people in the film who can't dance (can you say ""Audrey Landers""). ""Goodbye 12, Goodbye 13, Hello Love"", a brilliant vocal exploration of these dancers' childhood's jaundiced memories was reworked as ""Surprise, Surprise"" mainly a vehicle for the late Gregg Burge as Richie. The show's most famous song, ""What I Did for Love"" which in the show was a touching allegory sung by the entire cast about what they give up to dance, becomes just another standard love song in the film, performed tiredly by a miscast Allyson Reed as Cassie. Jeffrey Hornaday's choreography for the film is dull and unimaginative and doesn't hold a candle to Michael Bennett' original staging and when you're making a movie about dancers, the chpreography has to be special. There are a couple of good dancers in the film, the previously mentioned Gregg Burge as Richie, Michelle Johnston as Bebe, and Janet Jones as Judy, but they are hardly given the opportunity to show what they can do, yet Audrey Landers, who can barely walk and chew gum at the same time, is given one of the show's best numbers, ""Dance 10, Looks 3."" I will admit that the finale, ""One"" is dazzling, but you have to wait almost two hours for that. I would say that if you never saw A CHORUS LINE onstage, this film might be worth a look, but if you are a devotee of the original Broadway musical...be afraid...be very afraid.",0,True
"It really impresses me that it got made. The director/writer/actor must be really charismatic in reality. I can think of no other way itd pass script stage. What I want you to consider want this...while watching the films I was feeling sorry for the actors. It felt like being in a stand up comedy club where the guy is dying on his feet and your sitting there, not enjoying it, just feeling really bad for him coz hes of trying. Id really like to know what the budget is, guess it must have been low as the film quality is really poor. I is to write 'the jokes didn't appeal to me'. but the reality is for them to appeal to you, you'd have to be the man who wrote them. or a retard. So imagine that in script form...and this guy got THAT green lit. Thats impressive isn't it?",0,True
"This film was made in 1943 when i think Judy was at her peak (looks wise). In her previous film For Me and My Gal people often say that she looks emaciated. Well in this film she looks perfect. She is beautiful and shows that she has a flair for comedy.<br /><br />I think this film is hilarious, especially at the beginning when she is trying to arrange an audition with John Thornway. One of the funniest scene's in my opinion is Judy's rendition of Lady Macbeth and when John is looking for her at the party to give her a spanking (Lol).<br /><br />One criticism i do have is that there is a hole in the plot when John and Lily fall in love. I mean one minute he despises her and thenext they are going out on a date then the next time they meet after that date they are in love.<br /><br />Another point i didn't like was on opening night. If i were Lily i would be furious with John but she isn't...it just doesn't make sense.<br /><br />But all in all i would have to give this film a 10 because it is just wonderful and almost perfect.",1,True
"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking place in the Wilmington, DE/Philadelphia PA region from '96 through 2000. I have to admit I was highly skeptical of how Hollywood would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and Philadelphia Inquirer news stories throughout the time period. Of course I immediately pointed out that the actress (who I really like in Cold Case) who played Fahey looked nothing like her (Anne Marie was actually prettier). I have to personality though that Mark Harmon really nailed the type of admit that was revealed as Capano's and the behavior that Capano exhibited throughout this period. Details of the case were right on...no deviations of dramatic effect...even down to the carpet, gun, furniture, and cooler. In conclusion, I also wanted to add that I have met Tom Carper many times at various functions (a good man, despite being a politician) and I am so glad that he pulled the strings in the Federal realm necessary to solve this heinous crime. Guys like Capano are real and it was great to see him finally put behind bars.",1,True
"The key to the joy and beauty, the pain and sadness of life is our ability to accept that life basically is what it is so we don't constantly struggle against that single compelling truth. In so doing, we find peace. Elegant in its simplicity but so hard for most of us to grasp.<br /><br />In this film, the director shows us this truth but allows us to discover it in our own way. This is a beautiful yet simple story, more of a fable, which is played very well. Watching the actors is more like being in a room with real people than it is just watching actors.<br /><br />I struggled with how to write a review of this fine film so others would be motivated to see it. I'm at a loss. The story is about men in a bath house. Sounds like a real turn off, right? But, nothing could be farther from the truth. The American title for this film is The Shower but that is almost an antithesis to a major thematic element in this film, which is the bath. I'm still at a loss. Talking about the story or the characters will not do them justice.<br /><br />So, I'll just tell you how much I enjoyed watching this movie and how touching and moving the experience was. I was also quite entertained. I cared deeply for the characters and I cared deeply about what happened to them. For any story, that is the highest form of praise.<br /><br />If you were moved by movies like The King Of Masks or Not One Less, then make sure you see The Shower. Amal has it and the DVD video and sound quality are excellent. I watched it in the original lanquage with well done and well placed English subs.<br /><br />",1,True
"of the finest pieces of the last decade. the ones perceptions and sympathies are constantly challenged it explores many facets of day society. David Morrisey is, as brilliant. first coming across as a in heroine, but proving to be intelligent and as with her in uncovering the truth. I have seen Surrane Jones she from the world of television soaps. performance magnificent, as she maintains her and composure whilst to of the case and the stress of caring for could go on and about member of the cast who to this drama, but their efforts would mean little without such script that constantly challenges your assumptions about of It is programmes like this restore one's faith in television drama, whilst at the time it almost to settle for most garbage that increasingly filling the airwaves.",1,True
"I am wanting to make a ""Holmes with Doors"" pun but I can't quite string it all together. Suitably grubby and over edited WONDERLAND gives Kilmer a role that channels Morrison at the same time....but how coy is this film about the famous 14 inches! Australian crime films flash it all the time and skip the graphic violence instead.....as someone famous said once about US cinema double standards: ""kiss a breast and it's an X, stab it and its an action PG 13""... WONDERLAND is 14 minutes too long too, and at the end the tawdry spiral we were all glad to escape the cinema. How many films called WONDERLAND are we going to get? There must be six in the last decade. The pixilated violence and muted color sets the seedy tone but the wobble-cam gets tiresome, as if we are gawking at their nostrils all the time. Taking a few cues form THE DOORS and TAXI DRIBER it all becomes forgettable the next day.",0,True
"The only redeeming part of this movie was the price I paid. At least all I lost was $3.00 and the time elapsed sitting through this bomb. The crew member who was in charge of continuity missed the boat. When the female lead and the Belize guy went to the alleged killers location, Mr. FBI handed the female a revolver. When the alleged killer came out the door, the revolver has magically transformed into an automatic. One is left to ponder would an Killeen agent hand a weapon to a civilian? I think not. Ms. Xavier appears to be a very attractive female. It is too bad the R rating did not allow much of her to be seen. It would seem that a film editor cut what might have been the best parts of the film out.",0,True
