,img_name,label
0,imgs/CIFAR10/Cutmix\img_0.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1,imgs/CIFAR10/Cutmix\img_1.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,imgs/CIFAR10/Cutmix\img_2.png,"[0.0, 0.3019598126411438, 0.0, 0.0, 0.6980401873588562, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,imgs/CIFAR10/Cutmix\img_3.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,imgs/CIFAR10/Cutmix\img_4.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8787343502044678, 0.0, 0.0, 0.0, 0.12126564234495163]"
5,imgs/CIFAR10/Cutmix\img_5.png,"[0.902926504611969, 0.09707348048686981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,imgs/CIFAR10/Cutmix\img_6.png,"[0.0, 0.0, 0.0, 0.0, 0.7487550377845764, 0.0, 0.0, 0.2512449622154236, 0.0, 0.0]"
7,imgs/CIFAR10/Cutmix\img_7.png,"[0.9388156533241272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061184365302324295, 0.0, 0.0, 0.0]"
8,imgs/CIFAR10/Cutmix\img_8.png,"[0.0, 0.5694041848182678, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4305958151817322, 0.0]"
9,imgs/CIFAR10/Cutmix\img_9.png,"[0.0, 0.0, 0.0, 0.1927662491798401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8072337508201599]"
10,imgs/CIFAR10/Cutmix\img_10.png,"[0.0, 0.0, 0.004393111914396286, 0.9956068992614746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,imgs/CIFAR10/Cutmix\img_11.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.7149299383163452, 0.0, 0.0, 0.0, 0.2850700318813324]"
12,imgs/CIFAR10/Cutmix\img_12.png,"[0.0, 0.6170864701271057, 0.0, 0.0, 0.3829135298728943, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,imgs/CIFAR10/Cutmix\img_13.png,"[0.0, 0.0, 0.0, 0.0, 0.2971296012401581, 0.0, 0.0, 0.7028704285621643, 0.0, 0.0]"
14,imgs/CIFAR10/Cutmix\img_14.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8634411692619324, 0.13655883073806763, 0.0, 0.0, 0.0]"
15,imgs/CIFAR10/Cutmix\img_15.png,"[0.587770402431488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4122295677661896, 0.0, 0.0]"
16,imgs/CIFAR10/Cutmix\img_16.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8787512183189392, 0.12124880403280258]"
17,imgs/CIFAR10/Cutmix\img_17.png,"[0.0, 0.0, 0.0, 0.0, 0.19379475712776184, 0.0, 0.0, 0.8062052130699158, 0.0, 0.0]"
