,Unnamed: 0,img_name,label,image_url
0,0,imgs/CIFAR10/Cutmix2\img_0.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9751459956169128, 0.024853985756635666, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_0.png
1,1,imgs/CIFAR10/Cutmix2\img_1.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_1.png
2,2,imgs/CIFAR10/Cutmix2\img_2.png,"[0.8976094126701355, 0.0, 0.0, 0.0, 0.0, 0.1023905947804451, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_2.png
3,3,imgs/CIFAR10/Cutmix2\img_3.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_3.png
4,4,imgs/CIFAR10/Cutmix2\img_4.png,"[0.0, 0.0, 0.0, 0.0, 0.3233097493648529, 0.0, 0.0, 0.0, 0.6766902208328247, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_4.png
5,5,imgs/CIFAR10/Cutmix2\img_5.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_5.png
6,6,imgs/CIFAR10/Cutmix2\img_6.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06509803235530853, 0.0, 0.9349019527435303, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_6.png
7,7,imgs/CIFAR10/Cutmix2\img_7.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9168868064880371, 0.0, 0.0831131711602211, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_7.png
8,8,imgs/CIFAR10/Cutmix2\img_8.png,"[0.37826910614967346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6217309236526489, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_8.png
9,9,imgs/CIFAR10/Cutmix2\img_9.png,"[0.5773075222969055, 0.0, 0.0, 0.42269250750541687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_9.png
10,10,imgs/CIFAR10/Cutmix2\img_10.png,"[0.0, 0.0, 0.0, 0.13309542834758759, 0.8669045567512512, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_10.png
11,11,imgs/CIFAR10/Cutmix2\img_11.png,"[0.0, 0.0, 0.22826001048088074, 0.0, 0.0, 0.0, 0.0, 0.7717399597167969, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_11.png
12,12,imgs/CIFAR10/Cutmix2\img_12.png,"[0.0, 0.0, 0.0, 0.6829709410667419, 0.0, 0.31702905893325806, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Cutmix2\img_12.png
