,img_name,label
0,imgs/CIFAR10/INV\img_0.png,7
1,imgs/CIFAR10/INV\img_1.png,3
2,imgs/CIFAR10/INV\img_2.png,7
3,imgs/CIFAR10/INV\img_3.png,0
4,imgs/CIFAR10/INV\img_4.png,0
5,imgs/CIFAR10/INV\img_5.png,1
6,imgs/CIFAR10/INV\img_6.png,9
7,imgs/CIFAR10/INV\img_7.png,5
8,imgs/CIFAR10/INV\img_8.png,5
9,imgs/CIFAR10/INV\img_9.png,6
10,imgs/CIFAR10/INV\img_10.png,5
11,imgs/CIFAR10/INV\img_11.png,2
12,imgs/CIFAR10/INV\img_12.png,3
13,imgs/CIFAR10/INV\img_13.png,6
14,imgs/CIFAR10/INV\img_14.png,2
15,imgs/CIFAR10/INV\img_15.png,9
16,imgs/CIFAR10/INV\img_16.png,4
17,imgs/CIFAR10/INV\img_17.png,7
18,imgs/CIFAR10/INV\img_18.png,8
19,imgs/CIFAR10/INV\img_19.png,0
20,imgs/CIFAR10/INV\img_20.png,4
21,imgs/CIFAR10/INV\img_21.png,6
22,imgs/CIFAR10/INV\img_22.png,0
23,imgs/CIFAR10/INV\img_23.png,1
24,imgs/CIFAR10/INV\img_24.png,3
25,imgs/CIFAR10/INV\img_25.png,8
26,imgs/CIFAR10/INV\img_26.png,5
27,imgs/CIFAR10/INV\img_27.png,8
28,imgs/CIFAR10/INV\img_28.png,0
29,imgs/CIFAR10/INV\img_29.png,3
30,imgs/CIFAR10/INV\img_30.png,1
31,imgs/CIFAR10/INV\img_31.png,7
32,imgs/CIFAR10/INV\img_32.png,0
33,imgs/CIFAR10/INV\img_33.png,2
34,imgs/CIFAR10/INV\img_34.png,5
35,imgs/CIFAR10/INV\img_35.png,5
36,imgs/CIFAR10/INV\img_36.png,0
37,imgs/CIFAR10/INV\img_37.png,3
38,imgs/CIFAR10/INV\img_38.png,1
39,imgs/CIFAR10/INV\img_39.png,5
40,imgs/CIFAR10/INV\img_40.png,2
41,imgs/CIFAR10/INV\img_41.png,3
42,imgs/CIFAR10/INV\img_42.png,8
43,imgs/CIFAR10/INV\img_43.png,5
44,imgs/CIFAR10/INV\img_44.png,5
45,imgs/CIFAR10/INV\img_45.png,3
46,imgs/CIFAR10/INV\img_46.png,3
47,imgs/CIFAR10/INV\img_47.png,2
48,imgs/CIFAR10/INV\img_48.png,3
49,imgs/CIFAR10/INV\img_49.png,5
50,imgs/CIFAR10/INV\img_50.png,7
51,imgs/CIFAR10/INV\img_51.png,3
52,imgs/CIFAR10/INV\img_52.png,3
53,imgs/CIFAR10/INV\img_53.png,9
54,imgs/CIFAR10/INV\img_54.png,6
55,imgs/CIFAR10/INV\img_55.png,8
56,imgs/CIFAR10/INV\img_56.png,0
57,imgs/CIFAR10/INV\img_57.png,0
58,imgs/CIFAR10/INV\img_58.png,4
59,imgs/CIFAR10/INV\img_59.png,5
60,imgs/CIFAR10/INV\img_60.png,0
61,imgs/CIFAR10/INV\img_61.png,7
62,imgs/CIFAR10/INV\img_62.png,0
63,imgs/CIFAR10/INV\img_63.png,9
64,imgs/CIFAR10/INV\img_64.png,5
65,imgs/CIFAR10/INV\img_65.png,9
66,imgs/CIFAR10/INV\img_66.png,9
67,imgs/CIFAR10/INV\img_67.png,1
68,imgs/CIFAR10/INV\img_68.png,2
69,imgs/CIFAR10/INV\img_69.png,5
70,imgs/CIFAR10/INV\img_70.png,4
71,imgs/CIFAR10/INV\img_71.png,6
72,imgs/CIFAR10/INV\img_72.png,7
73,imgs/CIFAR10/INV\img_73.png,8
74,imgs/CIFAR10/INV\img_74.png,0
75,imgs/CIFAR10/INV\img_75.png,9
76,imgs/CIFAR10/INV\img_76.png,0
77,imgs/CIFAR10/INV\img_77.png,0
78,imgs/CIFAR10/INV\img_78.png,7
79,imgs/CIFAR10/INV\img_79.png,7
80,imgs/CIFAR10/INV\img_80.png,4
81,imgs/CIFAR10/INV\img_81.png,2
82,imgs/CIFAR10/INV\img_82.png,2
83,imgs/CIFAR10/INV\img_83.png,2
84,imgs/CIFAR10/INV\img_84.png,4
85,imgs/CIFAR10/INV\img_85.png,7
86,imgs/CIFAR10/INV\img_86.png,1
87,imgs/CIFAR10/INV\img_87.png,6
88,imgs/CIFAR10/INV\img_88.png,1
89,imgs/CIFAR10/INV\img_89.png,3
90,imgs/CIFAR10/INV\img_90.png,2
91,imgs/CIFAR10/INV\img_91.png,6
92,imgs/CIFAR10/INV\img_92.png,3
93,imgs/CIFAR10/INV\img_93.png,7
94,imgs/CIFAR10/INV\img_94.png,5
95,imgs/CIFAR10/INV\img_95.png,0
96,imgs/CIFAR10/INV\img_96.png,6
97,imgs/CIFAR10/INV\img_97.png,3
98,imgs/CIFAR10/INV\img_98.png,2
99,imgs/CIFAR10/INV\img_99.png,4
