,Unnamed: 0,img_name,label,image_url
0,0,imgs/CIFAR10/Mixup2\img_0.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1815601885318756, 0.8184398412704468, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_0.png
1,1,imgs/CIFAR10/Mixup2\img_1.png,"[0.28964850306510925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7103514671325684]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_1.png
2,2,imgs/CIFAR10/Mixup2\img_2.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7972158193588257, 0.20278416574001312, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_2.png
3,3,imgs/CIFAR10/Mixup2\img_3.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_3.png
4,4,imgs/CIFAR10/Mixup2\img_4.png,"[0.0, 0.17338953912258148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8266104459762573, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_4.png
5,5,imgs/CIFAR10/Mixup2\img_5.png,"[0.9069486260414124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09305135160684586]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_5.png
6,6,imgs/CIFAR10/Mixup2\img_6.png,"[0.20037536323070526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7996246218681335, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_6.png
7,7,imgs/CIFAR10/Mixup2\img_7.png,"[0.0, 0.0, 0.3574226200580597, 0.6425774097442627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_7.png
8,8,imgs/CIFAR10/Mixup2\img_8.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6052303314208984, 0.3947696387767792, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_8.png
9,9,imgs/CIFAR10/Mixup2\img_9.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.743496298789978, 0.2565036714076996, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_9.png
10,10,imgs/CIFAR10/Mixup2\img_10.png,"[0.0, 0.125491663813591, 0.0, 0.8745083212852478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_10.png
11,11,imgs/CIFAR10/Mixup2\img_11.png,"[0.0, 0.6771356463432312, 0.0, 0.0, 0.0, 0.0, 0.3228643536567688, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_11.png
12,12,imgs/CIFAR10/Mixup2\img_12.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.7189711332321167, 0.2810288965702057, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_12.png
13,13,imgs/CIFAR10/Mixup2\img_13.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.703361988067627, 0.0, 0.29663801193237305]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_13.png
14,14,imgs/CIFAR10/Mixup2\img_14.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006728066597133875, 0.9932719469070435]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_14.png
15,15,imgs/CIFAR10/Mixup2\img_15.png,"[0.7095619440078735, 0.0, 0.0, 0.2904380261898041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_15.png
16,16,imgs/CIFAR10/Mixup2\img_16.png,"[0.0, 0.0, 0.0, 0.0, 0.8398815393447876, 0.0, 0.0, 0.0, 0.0, 0.1601184755563736]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_16.png
17,17,imgs/CIFAR10/Mixup2\img_17.png,"[0.0, 0.14242154359817505, 0.0, 0.0, 0.857578456401825, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_17.png
18,18,imgs/CIFAR10/Mixup2\img_18.png,"[0.0, 0.0, 0.0, 0.8825480341911316, 0.1174519881606102, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_18.png
19,19,imgs/CIFAR10/Mixup2\img_19.png,"[0.17244887351989746, 0.0, 0.0, 0.8275511264801025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_19.png
20,20,imgs/CIFAR10/Mixup2\img_20.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.04260648787021637, 0.0, 0.0, 0.9573935270309448, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_20.png
21,21,imgs/CIFAR10/Mixup2\img_21.png,"[0.016935208812355995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9830647706985474, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_21.png
22,22,imgs/CIFAR10/Mixup2\img_22.png,"[0.0, 0.0, 0.09885366261005402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9011463522911072]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_22.png
23,23,imgs/CIFAR10/Mixup2\img_23.png,"[0.0, 0.0, 0.0, 0.3928765058517456, 0.0, 0.0, 0.0, 0.6071234941482544, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_23.png
24,24,imgs/CIFAR10/Mixup2\img_24.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_24.png
25,25,imgs/CIFAR10/Mixup2\img_25.png,"[0.3850139379501343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6149860620498657, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/Mixup2\img_25.png
