,Unnamed: 0,img_name,label,image_url
0,0,imgs/CIFAR10/ORIG\img_0.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_0.png
1,1,imgs/CIFAR10/ORIG\img_1.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_1.png
2,2,imgs/CIFAR10/ORIG\img_2.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_2.png
3,3,imgs/CIFAR10/ORIG\img_3.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_3.png
4,4,imgs/CIFAR10/ORIG\img_4.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_4.png
5,5,imgs/CIFAR10/ORIG\img_5.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_5.png
6,6,imgs/CIFAR10/ORIG\img_6.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_6.png
7,7,imgs/CIFAR10/ORIG\img_7.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_7.png
8,8,imgs/CIFAR10/ORIG\img_8.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_8.png
9,9,imgs/CIFAR10/ORIG\img_9.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_9.png
10,10,imgs/CIFAR10/ORIG\img_10.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_10.png
11,11,imgs/CIFAR10/ORIG\img_11.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_11.png
12,12,imgs/CIFAR10/ORIG\img_12.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_12.png
13,13,imgs/CIFAR10/ORIG\img_13.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_13.png
14,14,imgs/CIFAR10/ORIG\img_14.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_14.png
15,15,imgs/CIFAR10/ORIG\img_15.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_15.png
16,16,imgs/CIFAR10/ORIG\img_16.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_16.png
17,17,imgs/CIFAR10/ORIG\img_17.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_17.png
18,18,imgs/CIFAR10/ORIG\img_18.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_18.png
19,19,imgs/CIFAR10/ORIG\img_19.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_19.png
20,20,imgs/CIFAR10/ORIG\img_20.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_20.png
21,21,imgs/CIFAR10/ORIG\img_21.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_21.png
22,22,imgs/CIFAR10/ORIG\img_22.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_22.png
23,23,imgs/CIFAR10/ORIG\img_23.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_23.png
24,24,imgs/CIFAR10/ORIG\img_24.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_24.png
25,25,imgs/CIFAR10/ORIG\img_25.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_25.png
26,26,imgs/CIFAR10/ORIG\img_26.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_26.png
27,27,imgs/CIFAR10/ORIG\img_27.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_27.png
28,28,imgs/CIFAR10/ORIG\img_28.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_28.png
29,29,imgs/CIFAR10/ORIG\img_29.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_29.png
30,30,imgs/CIFAR10/ORIG\img_30.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_30.png
31,31,imgs/CIFAR10/ORIG\img_31.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_31.png
32,32,imgs/CIFAR10/ORIG\img_32.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_32.png
33,33,imgs/CIFAR10/ORIG\img_33.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_33.png
34,34,imgs/CIFAR10/ORIG\img_34.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_34.png
35,35,imgs/CIFAR10/ORIG\img_35.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_35.png
36,36,imgs/CIFAR10/ORIG\img_36.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_36.png
37,37,imgs/CIFAR10/ORIG\img_37.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_37.png
38,38,imgs/CIFAR10/ORIG\img_38.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_38.png
39,39,imgs/CIFAR10/ORIG\img_39.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_39.png
40,40,imgs/CIFAR10/ORIG\img_40.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_40.png
41,41,imgs/CIFAR10/ORIG\img_41.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_41.png
42,42,imgs/CIFAR10/ORIG\img_42.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_42.png
43,43,imgs/CIFAR10/ORIG\img_43.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_43.png
44,44,imgs/CIFAR10/ORIG\img_44.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_44.png
45,45,imgs/CIFAR10/ORIG\img_45.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_45.png
46,46,imgs/CIFAR10/ORIG\img_46.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_46.png
47,47,imgs/CIFAR10/ORIG\img_47.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_47.png
48,48,imgs/CIFAR10/ORIG\img_48.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_48.png
49,49,imgs/CIFAR10/ORIG\img_49.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_49.png
50,50,imgs/CIFAR10/ORIG\img_50.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_50.png
51,51,imgs/CIFAR10/ORIG\img_51.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_51.png
52,52,imgs/CIFAR10/ORIG\img_52.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_52.png
53,53,imgs/CIFAR10/ORIG\img_53.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_53.png
54,54,imgs/CIFAR10/ORIG\img_54.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_54.png
55,55,imgs/CIFAR10/ORIG\img_55.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_55.png
56,56,imgs/CIFAR10/ORIG\img_56.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_56.png
57,57,imgs/CIFAR10/ORIG\img_57.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_57.png
58,58,imgs/CIFAR10/ORIG\img_58.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_58.png
59,59,imgs/CIFAR10/ORIG\img_59.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_59.png
60,60,imgs/CIFAR10/ORIG\img_60.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_60.png
61,61,imgs/CIFAR10/ORIG\img_61.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_61.png
62,62,imgs/CIFAR10/ORIG\img_62.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_62.png
63,63,imgs/CIFAR10/ORIG\img_63.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_63.png
64,64,imgs/CIFAR10/ORIG\img_64.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_64.png
65,65,imgs/CIFAR10/ORIG\img_65.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_65.png
66,66,imgs/CIFAR10/ORIG\img_66.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_66.png
67,67,imgs/CIFAR10/ORIG\img_67.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_67.png
68,68,imgs/CIFAR10/ORIG\img_68.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_68.png
69,69,imgs/CIFAR10/ORIG\img_69.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_69.png
70,70,imgs/CIFAR10/ORIG\img_70.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_70.png
71,71,imgs/CIFAR10/ORIG\img_71.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/CIFAR10/ORIG\img_71.png
