,img_name,label
0,imgs/CIFAR10/Tile\img_0.png,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.0]"
1,imgs/CIFAR10/Tile\img_1.png,"[0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.5, 0.0, 0.25, 0.0]"
2,imgs/CIFAR10/Tile\img_2.png,"[0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25]"
3,imgs/CIFAR10/Tile\img_3.png,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.25]"
4,imgs/CIFAR10/Tile\img_4.png,"[0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0]"
5,imgs/CIFAR10/Tile\img_5.png,"[0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0]"
6,imgs/CIFAR10/Tile\img_6.png,"[0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.25]"
7,imgs/CIFAR10/Tile\img_7.png,"[0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0]"
8,imgs/CIFAR10/Tile\img_8.png,"[0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.25, 0.25]"
9,imgs/CIFAR10/Tile\img_9.png,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0]"
10,imgs/CIFAR10/Tile\img_10.png,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.25]"
11,imgs/CIFAR10/Tile\img_11.png,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5]"
12,imgs/CIFAR10/Tile\img_12.png,"[0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.0]"
13,imgs/CIFAR10/Tile\img_13.png,"[0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.0, 0.25]"
14,imgs/CIFAR10/Tile\img_14.png,"[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.25]"
15,imgs/CIFAR10/Tile\img_15.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.5]"
16,imgs/CIFAR10/Tile\img_16.png,"[0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
