,Unnamed: 0,img_name,label,image_url
0,0,imgs/MNIST/Cutmix\img_0.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23141680657863617, 0.7685831785202026, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_0.png
1,1,imgs/MNIST/Cutmix\img_1.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_1.png
2,2,imgs/MNIST/Cutmix\img_2.png,"[0.0, 0.37537747621536255, 0.0, 0.6246225237846375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_2.png
3,3,imgs/MNIST/Cutmix\img_3.png,"[0.0, 0.0, 0.0, 0.7654102444648743, 0.23458975553512573, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_3.png
4,4,imgs/MNIST/Cutmix\img_4.png,"[0.3672475814819336, 0.0, 0.6327524185180664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_4.png
5,5,imgs/MNIST/Cutmix\img_5.png,"[0.0, 0.0, 0.0, 0.7564749121665955, 0.0, 0.0, 0.0, 0.0, 0.24352507293224335, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_5.png
6,6,imgs/MNIST/Cutmix\img_6.png,"[0.0, 0.0, 0.0, 0.8590231537818909, 0.0, 0.0, 0.14097681641578674, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_6.png
7,7,imgs/MNIST/Cutmix\img_7.png,"[0.0, 0.9248901009559631, 0.0, 0.0, 0.07510992139577866, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_7.png
8,8,imgs/MNIST/Cutmix\img_8.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5797759890556335, 0.0, 0.42022404074668884]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_8.png
9,9,imgs/MNIST/Cutmix\img_9.png,"[0.0, 0.0, 0.8874427676200867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11255723237991333, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_9.png
10,10,imgs/MNIST/Cutmix\img_10.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.7025082111358643, 0.0, 0.0, 0.0, 0.29749181866645813]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_10.png
11,11,imgs/MNIST/Cutmix\img_11.png,"[0.4638676643371582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5361323356628418, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_11.png
12,12,imgs/MNIST/Cutmix\img_12.png,"[0.0, 0.0, 0.05051415041089058, 0.0, 0.9494858384132385, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_12.png
13,13,imgs/MNIST/Cutmix\img_13.png,"[0.0, 0.10490704327821732, 0.0, 0.0, 0.0, 0.8950929641723633, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_13.png
14,14,imgs/MNIST/Cutmix\img_14.png,"[0.0, 0.0, 0.0, 0.4314037561416626, 0.0, 0.0, 0.0, 0.5685962438583374, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_14.png
15,15,imgs/MNIST/Cutmix\img_15.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.09523570537567139, 0.0, 0.0, 0.0, 0.9047642946243286]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_15.png
16,16,imgs/MNIST/Cutmix\img_16.png,"[0.0, 0.5581471920013428, 0.0, 0.44185277819633484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_16.png
17,17,imgs/MNIST/Cutmix\img_17.png,"[0.0, 0.0, 0.0, 0.0, 0.6434666514396667, 0.35653334856033325, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_17.png
18,18,imgs/MNIST/Cutmix\img_18.png,"[0.4294372498989105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5705627799034119, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_18.png
19,19,imgs/MNIST/Cutmix\img_19.png,"[0.1588531881570816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8411468267440796, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_19.png
20,20,imgs/MNIST/Cutmix\img_20.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_20.png
21,21,imgs/MNIST/Cutmix\img_21.png,"[0.0, 0.0, 0.9902453422546387, 0.0, 0.0, 0.0, 0.0, 0.009754632599651814, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_21.png
22,22,imgs/MNIST/Cutmix\img_22.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9866414666175842, 0.0, 0.013358548283576965, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_22.png
23,23,imgs/MNIST/Cutmix\img_23.png,"[0.0, 0.0, 0.6624000072479248, 0.0, 0.0, 0.0, 0.3375999629497528, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_23.png
24,24,imgs/MNIST/Cutmix\img_24.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_24.png
25,25,imgs/MNIST/Cutmix\img_25.png,"[0.544407844543457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45559215545654297, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_25.png
26,26,imgs/MNIST/Cutmix\img_26.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.979227602481842, 0.020772377029061317, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_26.png
27,27,imgs/MNIST/Cutmix\img_27.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_27.png
28,28,imgs/MNIST/Cutmix\img_28.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_28.png
29,29,imgs/MNIST/Cutmix\img_29.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_29.png
30,30,imgs/MNIST/Cutmix\img_30.png,"[0.0, 0.0, 0.9906922578811646, 0.0, 0.009307770058512688, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_30.png
31,31,imgs/MNIST/Cutmix\img_31.png,"[0.0, 0.16301311552524567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8369868993759155, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_31.png
32,32,imgs/MNIST/Cutmix\img_32.png,"[0.0, 0.0, 0.0, 0.2747111916542053, 0.0, 0.0, 0.0, 0.0, 0.7252888083457947, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_32.png
33,33,imgs/MNIST/Cutmix\img_33.png,"[0.8514543175697327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14854566752910614, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_33.png
34,34,imgs/MNIST/Cutmix\img_34.png,"[0.0, 0.0, 0.40619149804115295, 0.0, 0.5938084721565247, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_34.png
35,35,imgs/MNIST/Cutmix\img_35.png,"[0.7135480046272278, 0.0, 0.2864519953727722, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_35.png
36,36,imgs/MNIST/Cutmix\img_36.png,"[0.9299147129058838, 0.0, 0.0700853168964386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_36.png
37,37,imgs/MNIST/Cutmix\img_37.png,"[0.0, 0.0, 0.0, 0.9199594855308533, 0.0, 0.0, 0.0, 0.0, 0.08004053682088852, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_37.png
38,38,imgs/MNIST/Cutmix\img_38.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22403007745742798, 0.775969922542572]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_38.png
39,39,imgs/MNIST/Cutmix\img_39.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix\img_39.png
