,Unnamed: 0,img_name,label,image_url
0,0,imgs/MNIST/Cutmix2\img_0.png,"[0.4815818667411804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5184181332588196]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_0.png
1,1,imgs/MNIST/Cutmix2\img_1.png,"[0.2920616567134857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7079383134841919]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_1.png
2,2,imgs/MNIST/Cutmix2\img_2.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_2.png
3,3,imgs/MNIST/Cutmix2\img_3.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45652008056640625, 0.5434799194335938, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_3.png
4,4,imgs/MNIST/Cutmix2\img_4.png,"[0.2769336998462677, 0.0, 0.0, 0.7230662703514099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_4.png
5,5,imgs/MNIST/Cutmix2\img_5.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10978968441486359, 0.0, 0.8902103304862976, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_5.png
6,6,imgs/MNIST/Cutmix2\img_6.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3759102523326874, 0.0, 0.0, 0.6240897178649902]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_6.png
7,7,imgs/MNIST/Cutmix2\img_7.png,"[0.0, 0.0, 8.630028605693951e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999136924743652, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_7.png
8,8,imgs/MNIST/Cutmix2\img_8.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.95928955078125, 0.0, 0.040710438042879105, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_8.png
9,9,imgs/MNIST/Cutmix2\img_9.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36435946822166443, 0.6356405019760132, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_9.png
10,10,imgs/MNIST/Cutmix2\img_10.png,"[0.0, 0.0, 0.09937038272619247, 0.0, 0.9006296396255493, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_10.png
11,11,imgs/MNIST/Cutmix2\img_11.png,"[0.8888446688652039, 0.11115536093711853, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_11.png
12,12,imgs/MNIST/Cutmix2\img_12.png,"[0.0, 0.3520159423351288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6479840278625488, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_12.png
13,13,imgs/MNIST/Cutmix2\img_13.png,"[0.1849626749753952, 0.8150373101234436, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_13.png
14,14,imgs/MNIST/Cutmix2\img_14.png,"[0.0, 0.5516316294670105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4483684003353119]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_14.png
15,15,imgs/MNIST/Cutmix2\img_15.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_15.png
16,16,imgs/MNIST/Cutmix2\img_16.png,"[0.0, 0.0, 0.957351565361023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.042648449540138245]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_16.png
17,17,imgs/MNIST/Cutmix2\img_17.png,"[0.04729912802577019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9527008533477783, 0.0, 0.0, 0.0]",https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/Cutmix2\img_17.png
