,img_name,label
0,imgs/MNIST/Mixup2\img_0.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.7355796098709106, 0.0, 0.26442036032676697, 0.0, 0.0]"
1,imgs/MNIST/Mixup2\img_1.png,"[0.0, 0.0, 0.9262588620185852, 0.0, 0.0, 0.0, 0.0, 0.07374115288257599, 0.0, 0.0]"
2,imgs/MNIST/Mixup2\img_2.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2885110378265381, 0.0, 0.7114889621734619, 0.0]"
3,imgs/MNIST/Mixup2\img_3.png,"[0.0, 0.0, 0.0, 0.0, 0.7558417916297913, 0.0, 0.0, 0.0, 0.0, 0.24415819346904755]"
4,imgs/MNIST/Mixup2\img_4.png,"[0.9224973917007446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07750263065099716]"
5,imgs/MNIST/Mixup2\img_5.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
6,imgs/MNIST/Mixup2\img_6.png,"[0.0, 0.41823482513427734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5817651748657227, 0.0, 0.0]"
7,imgs/MNIST/Mixup2\img_7.png,"[0.0, 0.0, 0.0, 0.5033432245254517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4966568052768707]"
8,imgs/MNIST/Mixup2\img_8.png,"[0.0, 0.0, 0.0, 0.7707797884941101, 0.0, 0.0, 0.0, 0.2292201966047287, 0.0, 0.0]"
9,imgs/MNIST/Mixup2\img_9.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
10,imgs/MNIST/Mixup2\img_10.png,"[0.0, 0.6980823874473572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3019176125526428, 0.0, 0.0]"
11,imgs/MNIST/Mixup2\img_11.png,"[0.0, 0.0, 0.0, 0.0, 0.6749494075775146, 0.0, 0.32505059242248535, 0.0, 0.0, 0.0]"
12,imgs/MNIST/Mixup2\img_12.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
13,imgs/MNIST/Mixup2\img_13.png,"[0.0, 0.0, 0.0, 0.6243768930435181, 0.37562310695648193, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,imgs/MNIST/Mixup2\img_14.png,"[0.0, 0.0, 0.0, 0.17240622639656067, 0.0, 0.0, 0.8275937438011169, 0.0, 0.0, 0.0]"
15,imgs/MNIST/Mixup2\img_15.png,"[0.0, 0.0, 0.0, 0.0, 0.24670207500457764, 0.7532979249954224, 0.0, 0.0, 0.0, 0.0]"
16,imgs/MNIST/Mixup2\img_16.png,"[0.0, 0.0, 0.12036547064781189, 0.0, 0.0, 0.0, 0.8796345591545105, 0.0, 0.0, 0.0]"
17,imgs/MNIST/Mixup2\img_17.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,imgs/MNIST/Mixup2\img_18.png,"[0.021320445463061333, 0.0, 0.0, 0.9786795377731323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,imgs/MNIST/Mixup2\img_19.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,imgs/MNIST/Mixup2\img_20.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
21,imgs/MNIST/Mixup2\img_21.png,"[0.0, 0.0, 0.0, 0.12336713075637817, 0.0, 0.0, 0.0, 0.8766328692436218, 0.0, 0.0]"
