,Unnamed: 0,img_name,label,image_url
0,0,imgs/MNIST/ORIG\img_0.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_0.png
1,1,imgs/MNIST/ORIG\img_1.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_1.png
2,2,imgs/MNIST/ORIG\img_2.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_2.png
3,3,imgs/MNIST/ORIG\img_3.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_3.png
4,4,imgs/MNIST/ORIG\img_4.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_4.png
5,5,imgs/MNIST/ORIG\img_5.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_5.png
6,6,imgs/MNIST/ORIG\img_6.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_6.png
7,7,imgs/MNIST/ORIG\img_7.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_7.png
8,8,imgs/MNIST/ORIG\img_8.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_8.png
9,9,imgs/MNIST/ORIG\img_9.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_9.png
10,10,imgs/MNIST/ORIG\img_10.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_10.png
11,11,imgs/MNIST/ORIG\img_11.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_11.png
12,12,imgs/MNIST/ORIG\img_12.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_12.png
13,13,imgs/MNIST/ORIG\img_13.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_13.png
14,14,imgs/MNIST/ORIG\img_14.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_14.png
15,15,imgs/MNIST/ORIG\img_15.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_15.png
16,16,imgs/MNIST/ORIG\img_16.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_16.png
17,17,imgs/MNIST/ORIG\img_17.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_17.png
18,18,imgs/MNIST/ORIG\img_18.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_18.png
19,19,imgs/MNIST/ORIG\img_19.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_19.png
20,20,imgs/MNIST/ORIG\img_20.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_20.png
21,21,imgs/MNIST/ORIG\img_21.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_21.png
22,22,imgs/MNIST/ORIG\img_22.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_22.png
23,23,imgs/MNIST/ORIG\img_23.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_23.png
24,24,imgs/MNIST/ORIG\img_24.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_24.png
25,25,imgs/MNIST/ORIG\img_25.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_25.png
26,26,imgs/MNIST/ORIG\img_26.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_26.png
27,27,imgs/MNIST/ORIG\img_27.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_27.png
28,28,imgs/MNIST/ORIG\img_28.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_28.png
29,29,imgs/MNIST/ORIG\img_29.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_29.png
30,30,imgs/MNIST/ORIG\img_30.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_30.png
31,31,imgs/MNIST/ORIG\img_31.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_31.png
32,32,imgs/MNIST/ORIG\img_32.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_32.png
33,33,imgs/MNIST/ORIG\img_33.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_33.png
34,34,imgs/MNIST/ORIG\img_34.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_34.png
35,35,imgs/MNIST/ORIG\img_35.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_35.png
36,36,imgs/MNIST/ORIG\img_36.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_36.png
37,37,imgs/MNIST/ORIG\img_37.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_37.png
38,38,imgs/MNIST/ORIG\img_38.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_38.png
39,39,imgs/MNIST/ORIG\img_39.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_39.png
40,40,imgs/MNIST/ORIG\img_40.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_40.png
41,41,imgs/MNIST/ORIG\img_41.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_41.png
42,42,imgs/MNIST/ORIG\img_42.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_42.png
43,43,imgs/MNIST/ORIG\img_43.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_43.png
44,44,imgs/MNIST/ORIG\img_44.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_44.png
45,45,imgs/MNIST/ORIG\img_45.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_45.png
46,46,imgs/MNIST/ORIG\img_46.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_46.png
47,47,imgs/MNIST/ORIG\img_47.png,5,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_47.png
48,48,imgs/MNIST/ORIG\img_48.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_48.png
49,49,imgs/MNIST/ORIG\img_49.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_49.png
50,50,imgs/MNIST/ORIG\img_50.png,9,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_50.png
51,51,imgs/MNIST/ORIG\img_51.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_51.png
52,52,imgs/MNIST/ORIG\img_52.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_52.png
53,53,imgs/MNIST/ORIG\img_53.png,6,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_53.png
54,54,imgs/MNIST/ORIG\img_54.png,7,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_54.png
55,55,imgs/MNIST/ORIG\img_55.png,8,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_55.png
56,56,imgs/MNIST/ORIG\img_56.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_56.png
57,57,imgs/MNIST/ORIG\img_57.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_57.png
58,58,imgs/MNIST/ORIG\img_58.png,1,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_58.png
59,59,imgs/MNIST/ORIG\img_59.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_59.png
60,60,imgs/MNIST/ORIG\img_60.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_60.png
61,61,imgs/MNIST/ORIG\img_61.png,3,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_61.png
62,62,imgs/MNIST/ORIG\img_62.png,4,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_62.png
63,63,imgs/MNIST/ORIG\img_63.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_63.png
64,64,imgs/MNIST/ORIG\img_64.png,2,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_64.png
65,65,imgs/MNIST/ORIG\img_65.png,0,https://github.com/fabriceyhc/Sibyl/tree/main//imgs/MNIST/ORIG\img_65.png
