run_id,id,model,tran,target_prob,resize_prob,num_tiles,eval_accuracy
1,1,PreAct ResNet,ORIG,,,,0.9948
1,2,PreAct ResNet,ORIG,,,,0.9961
1,3,PreAct ResNet,ORIG,,,,0.9952
1,4,PreAct ResNet,INV,,,,0.9919
1,5,PreAct ResNet,INV,,,,0.9925
1,6,PreAct ResNet,INV,,,,0.9911
1,7,PreAct ResNet,Mixup,0,,,0.9953
1,8,PreAct ResNet,Mixup2,0.25,,,0.9945
1,9,PreAct ResNet,Mixup2,0.5,,,0.9941
1,10,PreAct ResNet,Mixup2,0.75,,,0.9922
1,12,PreAct ResNet,Cutmix,0,0,,0.9909
1,13,PreAct ResNet,Cutmix2,0,0.25,,0.9917
1,14,PreAct ResNet,Cutmix2,0,0.5,,0.9921
1,15,PreAct ResNet,Cutmix2,0,0.75,,0.9932
1,16,PreAct ResNet,Cutmix2,0,1,,0.9943
1,17,PreAct ResNet,Cutmix2,0.25,0,,0.9921
1,18,PreAct ResNet,Cutmix2,0.25,0.25,,0.992
1,19,PreAct ResNet,Cutmix2,0.25,0.5,,0.9922
1,20,PreAct ResNet,Cutmix2,0.25,0.75,,0.9936
1,21,PreAct ResNet,Cutmix2,0.25,1,,0.996
1,22,PreAct ResNet,Cutmix2,0.5,0,,0.9906
1,23,PreAct ResNet,Cutmix2,0.5,0.25,,0.9909
1,24,PreAct ResNet,Cutmix2,0.5,0.5,,0.9922
1,25,PreAct ResNet,Cutmix2,0.5,0.75,,0.9937
1,26,PreAct ResNet,Cutmix2,0.5,1,,0.9952
1,27,PreAct ResNet,Cutmix2,0.75,0,,0.9898
1,28,PreAct ResNet,Cutmix2,0.75,0.25,,0.9897
1,29,PreAct ResNet,Cutmix2,0.75,0.5,,0.993
1,30,PreAct ResNet,Cutmix2,0.75,0.75,,0.993
1,31,PreAct ResNet,Cutmix2,0.75,1,,0.9951
1,32,PreAct ResNet,Cutmix2,1,0,,0.9887
1,33,PreAct ResNet,Cutmix2,1,0.25,,0.9886
1,34,PreAct ResNet,Cutmix2,1,0.5,,0.989
1,35,PreAct ResNet,Cutmix2,1,0.75,,0.9922
1,36,PreAct ResNet,Cutmix2,1,1,,0.9938
1,37,PreAct ResNet,Tile,0,,4,0.9969
1,38,PreAct ResNet,Tile,0.25,,4,0.9964
1,39,PreAct ResNet,Tile,0.5,,4,0.9968
1,40,PreAct ResNet,Tile,0.75,,4,0.9969
1,41,PreAct ResNet,Tile,0,,9,0.9964
1,42,PreAct ResNet,Tile,0.25,,9,0.9965
1,43,PreAct ResNet,Tile,0.5,,9,0.9961
1,44,PreAct ResNet,Tile,0.75,,9,0.9963
