run_id,id,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run,model,tran,testset
1,0,,0.9268,,,,,,,bert-base-uncased-sst2-ORIG+ORIG,BERT,ORIG,ORIG
1,1,,0.9292,,,,,,,bert-base-uncased-sst2-ORIG+INV,BERT,INV,ORIG
1,2,,0.9287,,,,,,,bert-base-uncased-sst2-ORIG+SIB,BERT,SIB,ORIG
1,3,,0.9281,,,,,,,bert-base-uncased-sst2-ORIG+INVSIB,BERT,INVSIB,ORIG
1,4,,0.9482,,,,,,,bert-base-uncased-sst2-ORIG+TextMix,BERT,TextMix,ORIG
1,5,,0.9405,,,,,,,bert-base-uncased-sst2-ORIG+SentMix,BERT,SentMix,ORIG
1,6,,0.9363,,,,,,,bert-base-uncased-sst2-ORIG+WordMix,BERT,WordMix,ORIG
1,7,,0.8913,,,,,,,roberta-base-sst2-ORIG+ORIG,RoBERTa,ORIG,ORIG
1,8,,0.9133,,,,,,,roberta-base-sst2-ORIG+INV,RoBERTa,INV,ORIG
1,9,,0.9166,,,,,,,roberta-base-sst2-ORIG+SIB,RoBERTa,SIB,ORIG
1,10,,0.9163,,,,,,,roberta-base-sst2-ORIG+INVSIB,RoBERTa,INVSIB,ORIG
1,11,,0.9271,,,,,,,roberta-base-sst2-ORIG+TextMix,RoBERTa,TextMix,ORIG
1,12,,0.935,,,,,,,roberta-base-sst2-ORIG+SentMix,RoBERTa,SentMix,ORIG
1,13,,0.9268,,,,,,,roberta-base-sst2-ORIG+WordMix,RoBERTa,WordMix,ORIG
1,14,,0.8885,,,,,,,xlnet-base-cased-sst2-ORIG+ORIG,XLNet,ORIG,ORIG
1,15,,0.928,,,,,,,xlnet-base-cased-sst2-ORIG+INV,XLNet,INV,ORIG
1,16,,0.9158,,,,,,,xlnet-base-cased-sst2-ORIG+SIB,XLNet,SIB,ORIG
1,17,,0.9182,,,,,,,xlnet-base-cased-sst2-ORIG+INVSIB,XLNet,INVSIB,ORIG
1,18,,0.931,,,,,,,xlnet-base-cased-sst2-ORIG+TextMix,XLNet,TextMix,ORIG
1,19,,0.9283,,,,,,,xlnet-base-cased-sst2-ORIG+SentMix,XLNet,SentMix,ORIG
1,20,,0.9314,,,,,,,xlnet-base-cased-sst2-ORIG+WordMix,XLNet,WordMix,ORIG
1,21,3.8885,0.9393,0.9382,0.9394,0.9373,17.6167,382.307,17.78,bert-base-uncased-targeted-TextMix,BERT,TextMix2,ORIG
1,22,3.7121,0.9376,0.9367,0.9369,0.9364,16.9257,397.916,15.84,bert-base-uncased-targeted-SentMix,BERT,SentMix2,ORIG
1,23,2.8262,0.9373,0.9362,0.9376,0.9351,16.9506,397.331,15.84,bert-base-uncased-targeted-WordMix,BERT,WordMix2,ORIG
1,24,2.9884,0.9436,0.9428,0.9424,0.9432,16.545,407.072,15.84,roberta-base-targeted-TextMix,RoBERTa,TextMix2,ORIG
1,25,2.7558,0.943,0.9422,0.9418,0.9425,16.5536,406.861,15.56,roberta-base-targeted-SentMix,RoBERTa,SentMix2,ORIG
1,26,1.4908,0.8809,0.8759,0.8952,0.8693,16.5048,408.064,7.22,roberta-base-targeted-WordMix,RoBERTa,WordMix2,ORIG
1,27,2.3898,0.9274,0.9261,0.9278,0.9246,26.3955,255.158,6.67,xlnet-base-cased-targeted-TextMix,XLNet,TextMix2,ORIG
1,28,2.587,0.9362,0.9353,0.9348,0.9359,26.3615,255.486,9.17,xlnet-base-cased-targeted-SentMix,XLNet,SentMix2,ORIG
1,29,1.8109,0.8974,0.8954,0.8977,0.8936,26.3755,255.351,4.17,xlnet-base-cased-targeted-WordMix,XLNet,WordMix2,ORIG
2,0,0.2919,0.9359,0.935,0.9342,0.9361,27.4274,245.557,3.33,bert-base-uncased-sst2-ORIG+ORIG,BERT,ORIG,ORIG
2,1,0.2926,0.9228,0.921,0.9257,0.918,27.3934,245.862,1.15,bert-base-uncased-sst2-ORIG+INV,BERT,INV,ORIG
